lgd_state_code,lgd_district_code,lgd_state_name,lgd_district_name,soi_objectid,soi_state_lgd,soi_dist_lgd,soi_state_name,soi_district_name,match_method,confidence,verification_status
23,396,Madhya Pradesh,Bhopal,579,23,444,MADHYA PRADESH,BHOPAL,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
21,349,Odisha,Boudh,169,21,391,ODISHA,BOUDH,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
27,472,Maharashtra,Buldhana,567,27,500,MAHARASHTRA,BULDHANA,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
23,397,Madhya Pradesh,Burhanpur,580,23,467,MADHYA PRADESH,BURHANPUR,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
20,323,Jharkhand,Chatra,747,20,347,JHARKHAND,CHATRA,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
29,533,Karnataka,Chitradurga,350,29,566,KARNATAKA,Chitradurga,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
13,758,Nagaland,Chumoukedima,485,13,711,NAGALAND,CHUMOUKEDIMA,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
8,96,Rajasthan,Churu,504,08,102,RAJASTHAN,CHURU,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
38,465,The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,1,26,496,DADRA & NAGAR HAVELI & DAMAN & DIU,DADRA AND NAGAR HAVELI,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
20,324,Jharkhand,Deoghar,748,20,350,JHARKHAND,DEOGHAR,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
24,674,Gujarat,Devbhumi Dwarka,202,24,656,GUJARAT,DEVBHUMI DWARKA,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
22,377,Chhattisgarh,Dhamtari,128,22,412,CHHATTISGARH,DHAMTARI,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
18,299,Assam,Dima Hasao,409,18,315,ASSAM,DIMA HASAO,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
20,326,Jharkhand,Dumka,750,20,362,JHARKHAND,DUMKA,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
7,78,Delhi,East,183,07,093,DELHI,EAST,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
17,740,Meghalaya,Eastern West Khasi Hills,463,17,765,MEGHALAYA,EASTERN WEST KHASI HILLS,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
28,505,Andhra Pradesh,East Godavari,679,28,545,ANDHRA PRADESH,East Godavari,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
27,475,Maharashtra,Gadchiroli,540,27,508,MAHARASHTRA,GADCHIROLI,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
21,353,Odisha,Gajapati,165,21,389,ODISHA,GAJAPATI,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
1,626,Jammu And Kashmir,Ganderbal,13,01,011,JAMMU AND KASHMIR,GANDERBAL,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
